@id,법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
1721,258977,현행,대한민국재향군인회법 시행규칙,,012392,20240116,00023,전부개정,1830000,국가보훈부,국가보훈부령,,20240116,,/DRF/lawService.do?OC=username001&target=law&MST=258977&type=HTML&mobileYn=&efYd=20240116
1722,195268,현행,대한민국재향소방동우회법,,011575,20170726,14839,타법개정,1661000,소방청,법률,,20170726,,/DRF/lawService.do?OC=username001&target=law&MST=195268&type=HTML&mobileYn=&efYd=20170726
1723,243751,현행,대한민국 주재 외국 공관원 등을 위한 신분증 발급과 관리에 관한 규칙,,008622,20220704,00106,일부개정,1262000,외교부,외교부령,,20220704,,/DRF/lawService.do?OC=username001&target=law&MST=243751&type=HTML&mobileYn=&efYd=20220704
1724,135664,현행,대한민국학술원명예회원선임등에관한규정,,009487,20130323,24423,타법개정,1342000,교육부,대통령령,,20130323,,/DRF/lawService.do?OC=username001&target=law&MST=135664&type=HTML&mobileYn=&efYd=20130323
1725,135665,현행,대한민국학술원 및 대한민국예술원의 회원수당 지급 규정,,003372,20130323,24423,타법개정,"1342000,1371000","교육부,문화체육관광부",대통령령,,20130323,,/DRF/lawService.do?OC=username001&target=law&MST=135665&type=HTML&mobileYn=&efYd=20130323
1726,215653,현행,대한민국학술원법,,000855,20200324,17077,일부개정,1342000,교육부,법률,,20200925,,/DRF/lawService.do?OC=username001&target=law&MST=215653&type=HTML&mobileYn=&efYd=20200925
1727,61603,현행,대한민국헌법,,001444,19871029,00010,전부개정,,,헌법,,19880225,,/DRF/lawService.do?OC=username001&target=law&MST=61603&type=HTML&mobileYn=&efYd=19880225
1728,203812,현행,대한민국헌정회 육성법,헌정회법,001406,20180612,15712,일부개정,9700000,국회,법률,,20180612,,/DRF/lawService.do?OC=username001&target=law&MST=203812&type=HTML&mobileYn=&efYd=20180612
1729,212211,현행,대한석탄공사법,,001868,20191210,16795,일부개정,1450000,산업통상자원부,법률,,20191210,,/DRF/lawService.do?OC=username001&target=law&MST=212211&type=HTML&mobileYn=&efYd=20191210
1730,136015,현행,대한석탄공사법 시행령,,003375,20130323,24442,타법개정,1450000,산업통상자원부,대통령령,,20130323,,/DRF/lawService.do?OC=username001&target=law&MST=136015&type=HTML&mobileYn=&efYd=20130323
1731,202889,현행,대한소방공제회법,,000955,20180327,15531,일부개정,1661000,소방청,법률,,20180928,,/DRF/lawService.do?OC=username001&target=law&MST=202889&type=HTML&mobileYn=&efYd=20180928
1732,224923,현행,대한적십자사 조직법,적십자법,000207,20201229,17778,일부개정,1352000,보건복지부,법률,,20210630,,/DRF/lawService.do?OC=username001&target=law&MST=224923&type=HTML&mobileYn=&efYd=20210630
1733,233367,현행,대한적십자사 조직법 시행령,,003381,20210629,31845,일부개정,1352000,보건복지부,대통령령,,20210630,,/DRF/lawService.do?OC=username001&target=law&MST=233367&type=HTML&mobileYn=&efYd=20210630
1734,257199,현행,대한지방행정공제회법,,001106,20231226,19833,일부개정,1741000,행정안전부,법률,,20231226,,/DRF/lawService.do?OC=username001&target=law&MST=257199&type=HTML&mobileYn=&efYd=20231226
1735,259541,현행,댐건설ㆍ관리 및 주변지역지원 등에 관한 법률,댐건설관리법,001981,20240130,20172,타법개정,1480000,환경부,법률,,20240130,,/DRF/lawService.do?OC=username001&target=law&MST=259541&type=HTML&mobileYn=&efYd=20240130
1736,248637,현행,댐건설ㆍ관리 및 주변지역지원 등에 관한 법률 시행령,댐건설법 시행령,003391,20230307,33321,타법개정,1480000,환경부,대통령령,,20230307,,/DRF/lawService.do?OC=username001&target=law&MST=248637&type=HTML&mobileYn=&efYd=20230307
1737,250159,현행,댐건설ㆍ관리 및 주변지역지원 등에 관한 법률 시행규칙,댐건설법 시행규칙,007074,20230417,01032,타법개정,1480000,환경부,환경부령,,20230417,,/DRF/lawService.do?OC=username001&target=law&MST=250159&type=HTML&mobileYn=&efYd=20230417
1738,243229,현행,댐사용권등록령,,003392,20220614,32697,타법개정,1480000,환경부,대통령령,,20220616,,/DRF/lawService.do?OC=username001&target=law&MST=243229&type=HTML&mobileYn=&efYd=20220616
1739,203851,현행,댐사용권등록령 시행규칙,,007075,20180608,00764,타법개정,1480000,환경부,환경부령,,20180608,,/DRF/lawService.do?OC=username001&target=law&MST=203851&type=HTML&mobileYn=&efYd=20180608
1740,259539,현행,댐 주변지역 친환경 보전 및 활용에 관한 특별법,댐주변친환경보전법,013138,20240130,20172,타법개정,1480000,환경부,법률,,20240130,,/DRF/lawService.do?OC=username001&target=law&MST=259539&type=HTML&mobileYn=&efYd=20240130
1741,247633,현행,댐 주변지역 친환경 보전 및 활용에 관한 특별법 시행령,,013490,20230110,33225,타법개정,1480000,환경부,대통령령,,20230112,,/DRF/lawService.do?OC=username001&target=law&MST=247633&type=HTML&mobileYn=&efYd=20230112
1742,229561,현행,댐 주변지역 친환경 보전 및 활용에 관한 특별법 시행규칙,,013495,20210217,00905,일부개정,1480000,환경부,환경부령,,20210217,,/DRF/lawService.do?OC=username001&target=law&MST=229561&type=HTML&mobileYn=&efYd=20210217
1743,251025,현행,데이터기반행정 활성화에 관한 법률,데이터기반행정법,013792,20230516,19408,타법개정,1741000,행정안전부,법률,,20231117,,/DRF/lawService.do?OC=username001&target=law&MST=251025&type=HTML&mobileYn=&efYd=20231117
1744,255951,현행,데이터기반행정 활성화에 관한 법률 시행령,데이터기반행정법 시행령,013909,20231107,33843,일부개정,1741000,행정안전부,대통령령,,20231117,,/DRF/lawService.do?OC=username001&target=law&MST=255951&type=HTML&mobileYn=&efYd=20231117
1745,256015,현행,데이터기반행정 활성화에 관한 법률 시행규칙,데이터기반행정법 시행규칙,013912,20231107,00435,일부개정,1741000,행정안전부,행정안전부령,,20231117,,/DRF/lawService.do?OC=username001&target=law&MST=256015&type=HTML&mobileYn=&efYd=20231117
1746,236051,현행,데이터 산업진흥 및 이용촉진에 관한 기본법,데이터산업법,014168,20211019,18475,제정,1721000,과학기술정보통신부,법률,,20220420,,/DRF/lawService.do?OC=username001&target=law&MST=236051&type=HTML&mobileYn=&efYd=20220420
1747,247147,현행,데이터 산업진흥 및 이용촉진에 관한 기본법 시행령,데이터산업법 시행령,014270,20230103,33195,일부개정,1721000,과학기술정보통신부,대통령령,,20230103,,/DRF/lawService.do?OC=username001&target=law&MST=247147&type=HTML&mobileYn=&efYd=20230103
1748,247551,현행,데이터 산업진흥 및 이용촉진에 관한 기본법 시행규칙,데이터산업법 시행규칙,014272,20230103,00102,일부개정,1721000,과학기술정보통신부,과학기술정보통신부령,,20230103,,/DRF/lawService.do?OC=username001&target=law&MST=247551&type=HTML&mobileYn=&efYd=20230103
1749,250023,현행,도로교통법,,001638,20230418,19357,일부개정,1320000,경찰청,법률,,20240101,,/DRF/lawService.do?OC=username001&target=law&MST=250023&type=HTML&mobileYn=&efYd=20240101
1750,256989,현행,도로교통법 시행령,,003395,20231219,33985,일부개정,1320000,경찰청,대통령령,,20240101,,/DRF/lawService.do?OC=username001&target=law&MST=256989&type=HTML&mobileYn=&efYd=20240101
1751,259601,현행,도로교통법 시행규칙,,007079,20240131,00459,일부개정,1320000,경찰청,행정안전부령,,20240131,,/DRF/lawService.do?OC=username001&target=law&MST=259601&type=HTML&mobileYn=&efYd=20240131
1752,223451,현행,도로명주소법,,010300,20201208,17574,전부개정,1741000,행정안전부,법률,,20210609,,/DRF/lawService.do?OC=username001&target=law&MST=223451&type=HTML&mobileYn=&efYd=20210609
1753,257539,현행,도로명주소법 시행령,,010422,20240102,34085,타법개정,1741000,행정안전부,대통령령,,20240119,,/DRF/lawService.do?OC=username001&target=law&MST=257539&type=HTML&mobileYn=&efYd=20240119
1754,241663,현행,도로명주소법 시행규칙,,010421,20220330,00324,타법개정,1741000,행정안전부,행정안전부령,,20220330,,/DRF/lawService.do?OC=username001&target=law&MST=241663&type=HTML&mobileYn=&efYd=20220330
